product_id,product_name,category,supplier_id,unit_price,weight_kg,is_active
20001,Exclusive radical initiative,Apparel,1131,509.94,67.78,Y
20002,Decentralized discrete interface,Industrial Equipment,1027,672.62,69.9,Y
20003,Up-sized modular focus group,Pharmaceuticals,1246,523.8,72.72,N
20004,Virtual transitional throughput,Sporting Goods,1061,1867.7,55.67,Y
20005,Reduced optimizing flexibility,Automotive Parts,1283,805.39,42.72,N
20006,Versatile secondary initiative,Sporting Goods,1239,248.32,25.65,Y
20007,Multi-channeled methodical secured line,Groceries,1289,,44.29,N
20008,Robust impactful matrix,Furniture,1079,492.09,66.68,N
20009,Profound even-keeled circuit,Sporting Goods,1132,1908.87,51.35,
20010,Visionary logistical benchmark,Office Supplies,1181,424.83,73.36,Y
20011,Decentralized eco-centric matrix,Apparel,1269,86.49,53.47,Y
20012,Proactive discrete product,Electronics,1035,1768.51,36.51,N
20013,Devolved 4thgeneration attitude,Office Supplies,1250,41.3,1.0,N
20014,User-centric actuating architecture,Toys,1009,1256.54,72.79,N
20015,Proactive systematic algorithm,Office Supplies,1124,481.45,28.39,N
20016,Enhanced homogeneous portal,Furniture,1236,1413.38,66.25,Y
20017,Synergistic fresh-thinking collaboration,Toys,1048,1014.39,,N
20018,Innovative regional process improvement,Pharmaceuticals,1223,1612.98,68.64,Y
20019,Cross-platform well-modulated archive,Industrial Equipment,1118,530.12,3.77,Y
20020,Switchable web-enabled model,Pharmaceuticals,1092,,16.61,N
20021,Visionary modular utilization,Industrial Equipment,1040,749.59,66.78,N
20022,Persistent dedicated frame,Groceries,1197,1889.51,55.16,N
20023,Switchable modular matrix,Furniture,1028,246.02,27.28,N
20024,Profit-focused empowering moratorium,Automotive Parts,1168,76.0,36.07,N
20025,Mandatory needs-based moratorium,Industrial Equipment,1222,465.97,6.9,Y
20026,Ameliorated well-modulated alliance,Toys,1043,671.39,50.73,Y
20027,Optional bottom-line info-mediaries,Automotive Parts,1047,14.98,60.92,N
20028,Organized foreground implementation,Office Supplies,1230,1393.35,2.15,Y
20029,Organic logistical alliance,Electronics,1167,2159.57,31.05,Y
20030,Automated context-sensitive open architecture,Toys,1293,1303.72,21.55,N
20031,Switchable zero-defect framework,Automotive Parts,1223,691.35,6.2,N
20032,Triple-buffered composite matrix,Groceries,1101,1145.74,75.91,N
20033,Optional client-driven function,Industrial Equipment,1226,838.17,25.69,N
20034,Universal human-resource matrix,Pharmaceuticals,1091,2411.51,55.61,Y
20035,Virtual bifurcated open system,Toys,1167,941.39,74.57,Y
20036,Synergistic mobile protocol,Sporting Goods,1282,69.24,16.81,Y
20037,Reactive systemic moratorium,Groceries,1210,1683.1,19.4,N
20038,Re-engineered methodical leverage,Industrial Equipment,1038,1123.77,32.09,N
20039,Realigned cohesive middleware,Pharmaceuticals,1279,93.84,64.99,Y
20040,Centralized hybrid firmware,Pharmaceuticals,1128,1644.69,49.03,N
20041,Proactive optimizing implementation,Toys,1170,2414.36,7.93,Y
20042,Seamless systematic help-desk,Sporting Goods,1229,936.55,47.11,Y
20043,Visionary executive Graphic Interface,Toys,1248,263.16,6.91,N
20044,Centralized 4thgeneration parallelism,Furniture,1160,858.98,27.9,N
20045,Balanced clear-thinking hierarchy,Electronics,1164,169.8,9.25,Y
20046,Monitored user-facing paradigm,Office Supplies,1125,1290.95,44.81,N
20047,Assimilated well-modulated product,Toys,1095,467.59,59.0,N
20048,Mandatory homogeneous attitude,Furniture,1200,13.12,60.2,Y
20049,Optimized grid-enabled help-desk,Pharmaceuticals,1275,469.03,9.16,N
20050,Open-source grid-enabled approach,Industrial Equipment,1199,1529.05,28.19,N
20051,Switchable dynamic encryption,Industrial Equipment,1153,2296.87,10.76,Y
20052,Front-line secondary function,Office Supplies,1192,1734.2,47.73,N
20053,Reverse-engineered attitude-oriented solution,Groceries,1276,1734.2,39.2,N
20054,Cloned fault-tolerant budgetary management,Electronics,1028,2164.07,15.65,N
20055,Mandatory composite adapter,Toys,1210,1712.37,35.54,Y
20056,Public-key fresh-thinking alliance,Furniture,1150,83.67,13.5,N
20057,Persevering stable interface,Industrial Equipment,1282,1277.99,62.02,Y
20058,Re-contextualized multimedia instruction set,Toys,1226,1366.79,66.41,Y
20059,Future-proofed 3rdgeneration standardization,Apparel,1231,658.51,79.52,N
20060,Phased optimizing adapter,Groceries,1220,416.62,65.09,N
20061,Intuitive homogeneous orchestration,Automotive Parts,1276,422.61,21.42,Y
20062,Networked fresh-thinking orchestration,Toys,1070,2407.0,79.4,
